ID,Month_ago,Score,Reviews
72863,10,5,Really comfortable.
72863,12,1,"Horrible management, 
more people live in the apartments without the management knowing, results in bearly any parking, vistors parking in the front in always full because the extra people living there, the same cars park in the visors section every single day.

Lighting at night is very poor,  if the visors parking in the front is full

You have to park in the Vistas parking in the back, can't see at night.
there is alot of drug dealing going on there especially at buildings 4,5, and 7.

Sometimes there are break ins,

And kids live in the area that like to break windows, the managers make you pay out of pocket for the windows."
72863,12,1,"After a 5 year lease !!!!!! There's a small hole in the bathroom door and another small hole from when we got a different couch in, which also resulted in a chip in the paint horizontal to the hole in the wall. 

We cleaned and vaccumed the apartment before we left.  Other then that, to of been there for 5 years and 2 small children,  the apartment was in GOOD shape. 

Maintenance entered our apt. without notice a few times, caught me off guard once, I was home alone in the shower one morning when I walked out to 2 men on my apt. Parking was bad usually couldnt get a spot close to your apt. After about 530 pm. 

New tenants who lived below and across were pretty loud.

They're really cheap but there's always a catch. 

I give 1 star only for the fact that I choice to live there for 5 years. 

But I'm EXTREMELY happy paying a little extra to live somewheres nicer. With staff much appreciative of me."
72863,12,1,0 star if I was able to
72863,12,4,NIL
73555,0.5,5,I lived there and the apartments were very comfortable.
73555,1,5,"I have been living here for 2 years! Kandy Asher is the best Apartmemt manager I have ever had! She goes beyond measurements to make sure things her taken care of with maintenance! She is always very busy and over works herself to please her residence! When I had financial hardships she not only did she work with me, but she also gave out resources to help me get on track! Kandy is a genuine & very professional with this property! Pool is always clean. She also looks out for the kids when they get off the bus. Anytime my kids went to her she treated them like her own. The apartments are nice and huge! Affordable at that. Quiet & very peaceful! I highly recommend Parkwood terrace. I haven’t lived in an apartment since 2012 so when I had to go back to apartments in 2017 I was nervous, but I’m blown away with how this property takes great care is their property!!"
73555,2,5,NIL
73555,2,5,Excellent maintenance and landlord courtesy and professionalism
73555,6,4,"I have been in my apartment since Sept 2017 and I absolutely love it! Kandi and Kim are very understanding and are actual real people with hearts!!!! I've had no issues since living here honestly, well besides the people on the opposite side that run up and down the stairs but management has addressed that issue and it hasn't been anything since. I live in building 4 and my neighbors and I are like family , they even look after my children if I have to run to the store. The apartment is so spacious and has so much room its ridiculous. I love the bedroom space and closet space. Its very rare that I hear any loud music or any children outside fighting or rough housing. ALOT of people have pets however they do clean up after them. I honestly love it, the children get along and ride the bus to and from school together and its always at least 5-6 parents on the bus stop to make sure that the children are on safe. Its not a large community which makes in so much better and you can actually get to know everyone. And if you are looking for a place without nosey neighbors this is where you need to be!!!!! 

The only negative I have is too much chlorine in the pool lol other than that its a great place to live. Unfortunately I will be moving out at the end of December (Maybe not lol) because I want to be closer to my sister.  I highly recommend this property, not just because I live here but because we have been treated like family instead of just a tenant.

If the place I am moving too (If I move) does not work out, I am coming right on back home to Parkwood Terrace Apartments!!!!"
73555,12,5,Love !!!! Love !!!! this place highly recommend leasing management is wonderful. Kid friendly park and basketball court for the kids to enjoy....
73555,12,5,"Kandy and Kim are amazing, They treat you like Family on and off the clock and I love and appreciate them for everything.  You just don't find really Good Genuine people like them in that line of work anymore.  Thanks Ladies"
70746,5,5,"I have been living here for almost 3 years.Lena the office manager always kindly and help me.She’s best.
It’s great location.I love living here."
70746,6,5,Great little hidden community to live in. Located in great location in north round rock Tx. Reasonable rates and spacious floor plans.
70746,11,1,"Don't move here, A/C during the summer breaks...does not cool at all due to them being old. ROACH infested. Racist manager and maintenance, noisy neighbors always watching what you do 24/7 then go snitch on the manager. Overpriced apartment complex for an old moldy, infested, nasty place to live. I could go on... please save your money and go somewhere else. Lastly,  having a mixed family(African American) the office doesn't like mixed people they will assume stuff that is not true and think they are criminals."
70746,12,5,We have been living here for almost 5 years. Lena the office manager and maintenance guys are always on top of everything and keeping this a comfortable place to live!
70746,12,5,"The Manager Leana is the Best! She always does her best to satisfy her residence , Management is good  every one will have their opinions, but I know that when I've had an issue it's always been taken care of , keep up the good work"
70746,12,5,"This will be my third year living in this apartments and i really like it I feel very safe here, nothing gets stolen even though i have forgotten my cars door open several times.. Lina is a great person always helps when there's anything wrong with my apartment!! And the rest of the staff are awesome too!!!"
72613,0.5,5,"I've been here a year now and i love it. Couldn't ask for a better staff and management. They fix problems when you have them and make sure everything is always going good. Only seen 2 of my neighbors EVER, its completely quiet never had any problems with people."
72613,3,1,"The people here have no morals and as sketchy as the hallways are so are the people, a drug dealer next to me not only that but my car is not safe in their garage you get threats from parking and if you have a motorcycle you ultimately get it knocked over and then stolen after I got my expensive motorcycle stolen I had asked for for termination of the lease do to not feeling safe being I cant have my own property from being stolen or damaged the gate they promised was never In operation you have people that come through and park there that dont even live there and not only that you do have sketchy people that live there in general of which I wouldn't be surprised if illegals lived in these apartments for the money go elsewhere that is nicer cleaner and is maintained and updated these people dont care about your safety or the people they put in their apartments so long as they meet their quotas snake smiles and nothing but lies"
72613,3,5,"When it comes to apartment living, nothing is more important than good staff. Sure, the property may be older and showing some wear and tear. Yes, we have had a few maintenance issues including bugs but each time staff are always quick to respond and send someone right away. This is not a house. You will hear other tenants, have pest problems, and have things break down. It's an apartment. Yes, the parking garage is horribly designed and frustrating at times but at least you don't get rained on and your vehicle is always covered and it's included in the price. If you live in an apartment, especially at the price point of this place, count your blessings if you are in a safe place, with in-unit washer and dryer, and spacious floorplans. My wife and I have had the fortune of living here for going on one year. Without a doubt, this is the best place to live for the price in the area. When you count up all the benefits and amenities provided at the current rate, nothing comes close. Last but certainly not least, Jeff is the kindest, most genuinely caring individual to have graced an apartment complex as the Assistant Manager. We would stay here for the benefit of him alone. He will go out of his way working nearly every day to ensure you are taken care of. Do not pass on this place on appearance alone. Ask a current resident like us and you will get the same answer. This is a great place to call home!"
72613,6,1,"This is not a the place to live. I have had ants infestation in 2 different apartments, a one bedroom on one side of the community and again in the 2 bedroom I have now. They never do much for them and they come back after the treatments they do. They are in every room too. Not just the kitchen. The parking garage is built cheaply and it's hard to park in. The last thing to know before the signing is the long maze like hallways never get cleaned and there is little to no insulation in this place. You hear a lot of stomping from the door above and depending on the apartment a full argument. The little insulation is noticed on heating as well. You pay a lot in heating and cooling. The freezing weather leads to pipes breaking. Its build about as cheaply as they could."
72613,7,5,"
best apartment because THE POND!!!!!!!!!!!"
72613,8,5,NIL
72613,8,4,NIL
72613,12,1,NIL
